epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1644,1.31677,1.99394,1.4274,0.63753,0.53386,0.55385,0.24321,1.92456,1.55663,1.80242,0.00023727,0.00023727,0.00023727
2,127.216,1.24189,1.47869,1.37066,0.59182,0.52992,0.55287,0.25015,1.89725,1.54758,1.83717,0.000470565,0.000470565,0.000470565
3,192.686,1.22631,1.39985,1.35934,0.72007,0.55335,0.61025,0.28684,1.78198,1.43303,1.7844,0.000699147,0.000699147,0.000699147
4,259.413,1.20983,1.37108,1.34761,0.74564,0.52205,0.59439,0.28725,1.79476,1.45121,1.80759,0.000692794,0.000692794,0.000692794
5,324.423,1.18347,1.29038,1.33771,0.73483,0.57552,0.62723,0.30229,1.85965,1.41679,1.80782,0.000685726,0.000685726,0.000685726
6,392.211,1.14341,1.22292,1.30735,0.76554,0.58042,0.64509,0.31538,1.67633,1.26234,1.72842,0.000678657,0.000678657,0.000678657
7,466.177,1.12729,1.17686,1.28989,0.79754,0.57783,0.65598,0.32569,1.74161,1.27593,1.70465,0.000671588,0.000671588,0.000671588
8,541.272,1.10588,1.13366,1.28407,0.76966,0.62172,0.68115,0.34701,1.67863,1.14112,1.66939,0.00066452,0.00066452,0.00066452
9,603.507,1.09856,1.10436,1.26854,0.76447,0.6065,0.67463,0.34333,1.66571,1.20619,1.66907,0.000657451,0.000657451,0.000657451
10,663.392,1.07925,1.06809,1.25657,0.8506,0.59234,0.69451,0.35799,1.66413,1.13832,1.62906,0.000650383,0.000650383,0.000650383
11,723.639,1.06372,1.04687,1.24704,0.7379,0.65531,0.69087,0.36643,1.54292,1.15716,1.55682,0.000643314,0.000643314,0.000643314
12,793.38,1.05068,1.01931,1.23922,0.83165,0.64062,0.72263,0.38778,1.56766,1.07828,1.61744,0.000636245,0.000636245,0.000636245
13,856.462,1.02805,0.97785,1.22805,0.81146,0.64768,0.73047,0.38405,1.62946,1.03046,1.61226,0.000629177,0.000629177,0.000629177
14,929.635,1.0249,0.97213,1.21925,0.81868,0.63923,0.71245,0.37452,1.5996,1.11987,1.65554,0.000622108,0.000622108,0.000622108
15,1003.06,1.01215,0.95086,1.21105,0.8457,0.63161,0.71335,0.38966,1.58373,1.06538,1.589,0.00061504,0.00061504,0.00061504
16,1077.27,0.99911,0.92678,1.201,0.85998,0.67709,0.75999,0.4111,1.52825,1.01914,1.54728,0.000607971,0.000607971,0.000607971
17,1150.15,0.993,0.91648,1.19544,0.84816,0.661,0.73167,0.39751,1.48082,0.98326,1.55019,0.000600902,0.000600902,0.000600902
18,1226.22,0.98524,0.89504,1.18954,0.82191,0.65753,0.73693,0.4087,1.5745,0.98769,1.57347,0.000593834,0.000593834,0.000593834
19,1300.25,0.97127,0.87456,1.17775,0.8553,0.66271,0.74719,0.41803,1.48944,0.9806,1.54179,0.000586765,0.000586765,0.000586765
20,1371.63,0.96851,0.8636,1.1792,0.81077,0.6943,0.75368,0.44304,1.41546,0.9284,1.48973,0.000579697,0.000579697,0.000579697
21,1444.39,0.94772,0.84618,1.16541,0.83336,0.69808,0.76151,0.43934,1.49567,0.92842,1.52665,0.000572628,0.000572628,0.000572628
22,1504.87,0.94133,0.83166,1.16289,0.89538,0.68954,0.77708,0.44344,1.43811,0.87591,1.46635,0.000565559,0.000565559,0.000565559
23,1565.19,0.94555,0.83694,1.16495,0.88072,0.68186,0.77689,0.45909,1.43082,0.87628,1.46311,0.000558491,0.000558491,0.000558491
24,1625.13,0.9288,0.81128,1.14799,0.85334,0.67774,0.76449,0.43732,1.48209,0.93168,1.54601,0.000551422,0.000551422,0.000551422
25,1695.95,0.91939,0.80222,1.14919,0.90518,0.68201,0.767,0.44952,1.3899,0.87095,1.47049,0.000544354,0.000544354,0.000544354
26,1774.22,0.92194,0.78535,1.14702,0.89882,0.68547,0.77215,0.45443,1.42025,0.85187,1.48335,0.000537285,0.000537285,0.000537285
27,1848.48,0.91606,0.78969,1.1435,0.87189,0.67756,0.76595,0.45707,1.34673,0.84282,1.41313,0.000530216,0.000530216,0.000530216
