epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.729,1.39003,2.68631,1.4921,0.41051,0.39848,0.35636,0.16651,1.80437,2.00291,1.82042,0.00023727,0.00023727,0.00023727
2,78.8875,1.3185,1.86168,1.44858,0.58026,0.48541,0.49083,0.21915,1.87375,1.72145,1.88834,0.00046586,0.00046586,0.00046586
3,114.655,1.27836,1.69478,1.4174,0.65387,0.48255,0.52117,0.23716,1.78228,1.70651,1.82051,0.000685024,0.000685024,0.000685024
4,161.776,1.25086,1.61538,1.39178,0.67541,0.46688,0.49333,0.21236,1.8745,1.63934,1.9429,0.000671588,0.000671588,0.000671588
5,210.284,1.22875,1.53961,1.37354,0.70512,0.51606,0.57623,0.27714,1.79205,1.5606,1.82656,0.000657451,0.000657451,0.000657451
6,267.583,1.19165,1.46038,1.34967,0.70288,0.57809,0.61785,0.30344,1.76375,1.47753,1.79187,0.000643314,0.000643314,0.000643314
7,324.764,1.17712,1.40788,1.33212,0.70074,0.54824,0.59028,0.28245,1.77673,1.44164,1.80207,0.000629177,0.000629177,0.000629177
8,376.419,1.16055,1.36959,1.32932,0.76762,0.53424,0.61647,0.28792,1.75227,1.4005,1.73873,0.00061504,0.00061504,0.00061504
9,411.817,1.15525,1.32986,1.31535,0.75675,0.55765,0.63112,0.2948,1.82213,1.41881,1.81141,0.000600902,0.000600902,0.000600902
10,447.369,1.14101,1.29058,1.29989,0.77803,0.58003,0.65773,0.29456,1.76563,1.30629,1.74821,0.000586765,0.000586765,0.000586765
11,483.048,1.12637,1.27561,1.29666,0.78591,0.5702,0.65218,0.32249,1.6996,1.27931,1.6975,0.000572628,0.000572628,0.000572628
12,518.285,1.11522,1.24189,1.28789,0.74676,0.59873,0.66371,0.30903,1.77679,1.28948,1.7431,0.000558491,0.000558491,0.000558491
13,574.023,1.09284,1.19509,1.27477,0.81474,0.60986,0.68324,0.33686,1.76573,1.23517,1.74366,0.000544354,0.000544354,0.000544354
14,626.256,1.09494,1.17827,1.27153,0.78085,0.5874,0.66227,0.3315,1.6941,1.24791,1.66566,0.000530216,0.000530216,0.000530216
15,675.74,1.0808,1.15778,1.26256,0.81971,0.61653,0.67957,0.34158,1.64192,1.23732,1.66663,0.000516079,0.000516079,0.000516079
16,727.053,1.06688,1.13087,1.25025,0.75087,0.62517,0.68476,0.35427,1.57598,1.14748,1.59531,0.000501942,0.000501942,0.000501942
17,775.316,1.07042,1.13401,1.24904,0.73228,0.61382,0.66726,0.3315,1.69596,1.22478,1.69202,0.000487805,0.000487805,0.000487805
18,811.615,1.06326,1.10411,1.24412,0.77335,0.63801,0.6875,0.37728,1.56043,1.11377,1.56867,0.000473668,0.000473668,0.000473668
19,847.628,1.05057,1.07609,1.23145,0.83129,0.61837,0.69631,0.36917,1.61575,1.10502,1.60178,0.00045953,0.00045953,0.00045953
20,888.167,1.04118,1.05653,1.23142,0.81194,0.62163,0.70725,0.37611,1.5762,1.07248,1.57326,0.000445393,0.000445393,0.000445393
21,936.533,1.03,1.04345,1.22339,0.83793,0.61489,0.70704,0.37069,1.64568,1.06664,1.59821,0.000431256,0.000431256,0.000431256
