epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8327,0.9116,0.82829,1.13756,0.86758,0.67238,0.75645,0.43594,1.43985,0.92132,1.50153,0.00023727,0.00023727,0.00023727
2,74.9173,0.96772,0.89381,1.16855,0.83735,0.66487,0.73344,0.40675,1.47552,1.00943,1.53417,0.000470565,0.000470565,0.000470565
3,110.621,0.99277,0.92678,1.1849,0.83549,0.65105,0.72114,0.40741,1.45738,1.0098,1.50199,0.000699147,0.000699147,0.000699147
4,146.366,1.01299,0.96657,1.19983,0.7963,0.6527,0.72062,0.37424,1.61561,1.05589,1.63599,0.000692794,0.000692794,0.000692794
5,182.719,1.01314,0.96531,1.2016,0.83481,0.65345,0.73223,0.39418,1.46771,1.02272,1.54256,0.000685726,0.000685726,0.000685726
6,218.737,0.99255,0.9377,1.18992,0.80868,0.65733,0.7199,0.39311,1.53013,0.99694,1.54435,0.000678657,0.000678657,0.000678657
7,254.619,0.99854,0.9432,1.18938,0.85486,0.60819,0.70636,0.38999,1.53323,1.04743,1.56029,0.000671588,0.000671588,0.000671588
8,290.131,0.99451,0.94161,1.19493,0.81998,0.65118,0.72608,0.39798,1.54611,1.10005,1.57391,0.00066452,0.00066452,0.00066452
9,326.042,1.00604,0.94639,1.19577,0.82561,0.64869,0.72982,0.38622,1.58477,1.06141,1.60079,0.000657451,0.000657451,0.000657451
10,362.034,0.99428,0.93434,1.18668,0.8123,0.67751,0.73551,0.40618,1.51537,1.00148,1.55268,0.000650383,0.000650383,0.000650383
11,398.238,0.98332,0.92627,1.18581,0.82788,0.64771,0.71832,0.40304,1.45785,1.03094,1.51087,0.000643314,0.000643314,0.000643314
12,434.27,0.98379,0.92245,1.18708,0.8122,0.69539,0.74946,0.41644,1.48358,0.94428,1.56008,0.000636245,0.000636245,0.000636245
13,470.477,0.97186,0.90897,1.18353,0.84183,0.67644,0.73593,0.41248,1.51672,0.96648,1.57198,0.000629177,0.000629177,0.000629177
14,506.656,0.97709,0.90461,1.17902,0.82636,0.67466,0.74168,0.41086,1.45028,0.97441,1.52942,0.000622108,0.000622108,0.000622108
15,542.788,0.96557,0.89074,1.17101,0.82151,0.68175,0.73528,0.40947,1.46886,0.98924,1.54869,0.00061504,0.00061504,0.00061504
16,579.074,0.95935,0.89184,1.16831,0.84571,0.68214,0.74558,0.42803,1.46792,0.97331,1.55879,0.000607971,0.000607971,0.000607971
17,615.179,0.96242,0.89161,1.16938,0.86673,0.64654,0.73641,0.40608,1.50971,0.96565,1.58712,0.000600902,0.000600902,0.000600902
18,650.979,0.96274,0.88361,1.16767,0.84574,0.6825,0.74776,0.40452,1.56666,0.96155,1.64055,0.000593834,0.000593834,0.000593834
19,686.687,0.95304,0.86591,1.15688,0.88009,0.66617,0.75663,0.42048,1.52847,0.93235,1.56986,0.000586765,0.000586765,0.000586765
20,722.517,0.95838,0.86452,1.16445,0.8666,0.68777,0.75602,0.42106,1.50021,0.94306,1.53869,0.000579697,0.000579697,0.000579697
21,758.229,0.94775,0.85712,1.15924,0.85139,0.66665,0.74384,0.41697,1.46849,0.93498,1.52073,0.000572628,0.000572628,0.000572628
