epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.324,1.25882,1.7606,1.42144,0.67537,0.51513,0.55844,0.23691,1.92638,1.60076,1.91312,0.00023727,0.00023727,0.00023727
2,244.338,1.23804,1.45429,1.40653,0.71612,0.5098,0.57835,0.25874,1.87912,1.53925,1.91397,0.000470565,0.000470565,0.000470565
3,363.555,1.23562,1.42651,1.40572,0.63682,0.5532,0.58434,0.28153,1.81604,1.48441,1.87373,0.000699147,0.000699147,0.000699147
4,486.047,1.21263,1.39381,1.39018,0.76199,0.52932,0.58625,0.26692,1.88788,1.6191,1.95922,0.000692794,0.000692794,0.000692794
5,611.416,1.17919,1.30527,1.36606,0.74934,0.53718,0.62169,0.30311,1.78571,1.38425,1.86967,0.000685726,0.000685726,0.000685726
6,730.154,1.13474,1.22666,1.34048,0.67031,0.61049,0.62282,0.30088,1.74977,1.38433,1.77605,0.000678657,0.000678657,0.000678657
7,879.408,1.11563,1.17296,1.31518,0.75352,0.57646,0.62579,0.30963,1.77861,1.30822,1.80276,0.000671588,0.000671588,0.000671588
8,998.156,1.09336,1.1228,1.30905,0.74878,0.60175,0.64642,0.32213,1.67014,1.28331,1.70996,0.00066452,0.00066452,0.00066452
9,1116.44,1.0828,1.0857,1.29179,0.77239,0.62788,0.68223,0.33869,1.75163,1.23185,1.77942,0.000657451,0.000657451,0.000657451
10,1291.95,1.05755,1.03623,1.2771,0.83655,0.63681,0.7227,0.37865,1.58102,1.08421,1.67315,0.000650383,0.000650383,0.000650383
11,1410.75,1.04102,1.01378,1.26328,0.83683,0.64355,0.72131,0.37756,1.60686,1.03434,1.68773,0.000643314,0.000643314,0.000643314
12,1529.21,1.01683,0.98626,1.2541,0.85164,0.63316,0.71746,0.37411,1.6049,1.03831,1.68068,0.000636245,0.000636245,0.000636245
13,1647.58,0.99513,0.94501,1.24422,0.84154,0.6465,0.7252,0.37942,1.65091,0.99485,1.67384,0.000629177,0.000629177,0.000629177
14,1819.81,0.99022,0.93009,1.23243,0.85546,0.63057,0.71678,0.39508,1.51731,1.02057,1.59403,0.000622108,0.000622108,0.000622108
15,1997.3,0.97555,0.90406,1.2188,0.80834,0.67653,0.7387,0.41818,1.43371,0.95684,1.53351,0.00061504,0.00061504,0.00061504
16,2116.24,0.96545,0.88081,1.21017,0.85621,0.70114,0.76111,0.43499,1.46587,0.91398,1.58156,0.000607971,0.000607971,0.000607971
17,2234.82,0.95388,0.86786,1.20507,0.84282,0.67041,0.74851,0.42101,1.47273,0.93132,1.59558,0.000600902,0.000600902,0.000600902
18,2404.37,0.94442,0.84118,1.19708,0.86421,0.6959,0.76704,0.44351,1.41027,0.87315,1.51709,0.000593834,0.000593834,0.000593834
19,2525.96,0.92714,0.81574,1.18223,0.86278,0.711,0.7682,0.42073,1.45897,0.92828,1.58637,0.000586765,0.000586765,0.000586765
20,2644.28,0.92116,0.79695,1.18005,0.85137,0.68325,0.75763,0.45786,1.32644,0.87739,1.45937,0.000579697,0.000579697,0.000579697
21,2774.95,0.90868,0.79472,1.16977,0.86408,0.69645,0.76867,0.46583,1.34248,0.85525,1.466,0.000572628,0.000572628,0.000572628
22,2893.7,0.89808,0.77881,1.16671,0.84359,0.73055,0.79214,0.46687,1.3117,0.84271,1.44113,0.000565559,0.000565559,0.000565559
23,3012.29,0.89675,0.77761,1.16608,0.89609,0.704,0.77671,0.47425,1.31278,0.81115,1.49024,0.000558491,0.000558491,0.000558491
24,3130.86,0.88063,0.74972,1.14852,0.9019,0.71016,0.78895,0.4904,1.31377,0.79954,1.43965,0.000551422,0.000551422,0.000551422
25,3249.28,0.87956,0.74257,1.15465,0.85907,0.71091,0.78766,0.47358,1.3073,0.7898,1.44537,0.000544354,0.000544354,0.000544354
26,3367.71,0.86254,0.71885,1.14374,0.87623,0.72029,0.7975,0.47656,1.35572,0.75825,1.49096,0.000537285,0.000537285,0.000537285
27,3486.15,0.85799,0.72003,1.13901,0.88594,0.73407,0.80412,0.47745,1.37493,0.78301,1.52764,0.000530216,0.000530216,0.000530216
28,3604.48,0.85109,0.70562,1.13375,0.89024,0.73117,0.80582,0.47616,1.30265,0.76429,1.44544,0.000523148,0.000523148,0.000523148
29,3723.69,0.84826,0.70042,1.13356,0.89158,0.72987,0.79821,0.4898,1.26182,0.74375,1.40633,0.000516079,0.000516079,0.000516079
30,3842.06,0.82176,0.67272,1.11734,0.90611,0.72948,0.81532,0.51566,1.25989,0.75226,1.39045,0.000509011,0.000509011,0.000509011
31,3960.7,0.8309,0.67538,1.11769,0.91358,0.72981,0.8195,0.50434,1.27526,0.72579,1.41704,0.000501942,0.000501942,0.000501942
