epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5486,1.39003,2.68631,1.4921,0.41051,0.39848,0.35636,0.16651,1.80437,2.00291,1.82042,0.00023727,0.00023727,0.00023727
2,75.5646,1.3185,1.86168,1.44858,0.58026,0.48541,0.49083,0.21915,1.87375,1.72145,1.88834,0.00046586,0.00046586,0.00046586
3,111.504,1.27836,1.69478,1.4174,0.65387,0.48255,0.52117,0.23716,1.78228,1.70651,1.82051,0.000685024,0.000685024,0.000685024
4,147.147,1.25086,1.61538,1.39178,0.67541,0.46688,0.49333,0.21236,1.8745,1.63934,1.9429,0.000671588,0.000671588,0.000671588
5,183.033,1.22875,1.53961,1.37354,0.70512,0.51606,0.57623,0.27714,1.79205,1.5606,1.82656,0.000657451,0.000657451,0.000657451
6,218.27,1.19165,1.46038,1.34967,0.70288,0.57809,0.61785,0.30344,1.76375,1.47753,1.79187,0.000643314,0.000643314,0.000643314
7,253.244,1.17712,1.40788,1.33212,0.70074,0.54824,0.59028,0.28245,1.77673,1.44164,1.80207,0.000629177,0.000629177,0.000629177
8,288.4,1.16055,1.36959,1.32932,0.76762,0.53424,0.61647,0.28792,1.75227,1.4005,1.73873,0.00061504,0.00061504,0.00061504
9,323.824,1.15525,1.32986,1.31535,0.75675,0.55765,0.63112,0.2948,1.82213,1.41881,1.81141,0.000600902,0.000600902,0.000600902
10,359.274,1.14101,1.29058,1.29989,0.77803,0.58003,0.65773,0.29456,1.76563,1.30629,1.74821,0.000586765,0.000586765,0.000586765
11,394.339,1.12637,1.27561,1.29666,0.78591,0.5702,0.65218,0.32249,1.6996,1.27931,1.6975,0.000572628,0.000572628,0.000572628
12,429.355,1.11522,1.24189,1.28789,0.74676,0.59873,0.66371,0.30903,1.77679,1.28948,1.7431,0.000558491,0.000558491,0.000558491
