epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1899,1.40896,2.6739,1.51661,0.49343,0.41178,0.41062,0.18146,1.85312,2.04842,1.82276,0.000237635,0.000237635,0.000237635
2,111.756,1.33034,1.95634,1.47948,0.55216,0.44788,0.45867,0.20723,1.875,1.89443,1.9589,0.000466217,0.000466217,0.000466217
3,161.079,1.29229,1.81312,1.43942,0.57516,0.43963,0.4985,0.20179,1.92422,1.83339,1.91201,0.000685375,0.000685375,0.000685375
4,212.193,1.26495,1.70779,1.41964,0.59659,0.51368,0.51069,0.23652,1.85977,1.74638,1.85278,0.000671588,0.000671588,0.000671588
5,261.284,1.24049,1.63513,1.39645,0.69918,0.48771,0.53276,0.24066,1.87857,1.71876,1.85131,0.000657451,0.000657451,0.000657451
6,308.179,1.2194,1.56435,1.37794,0.65783,0.53379,0.57846,0.26149,1.84988,1.69511,1.83321,0.000643314,0.000643314,0.000643314
7,353.725,1.19893,1.51607,1.36291,0.65343,0.53398,0.55285,0.27557,1.77025,1.57451,1.76951,0.000629177,0.000629177,0.000629177
8,399.222,1.18208,1.46668,1.35957,0.7297,0.55208,0.61392,0.27774,1.80715,1.44099,1.79773,0.00061504,0.00061504,0.00061504
9,443.383,1.17109,1.41544,1.34962,0.74793,0.58995,0.63896,0.30602,1.77783,1.40287,1.74957,0.000600902,0.000600902,0.000600902
10,485.871,1.16282,1.37439,1.33157,0.73095,0.56845,0.60548,0.28289,1.80241,1.38921,1.81407,0.000586765,0.000586765,0.000586765
11,529.396,1.14217,1.34764,1.32156,0.80137,0.55038,0.62992,0.31287,1.78497,1.34656,1.78652,0.000572628,0.000572628,0.000572628
12,573.127,1.14096,1.33032,1.31575,0.73818,0.58538,0.63928,0.29573,1.826,1.32818,1.79515,0.000558491,0.000558491,0.000558491
13,616.371,1.13108,1.28825,1.30845,0.73683,0.592,0.65336,0.32033,1.75275,1.34107,1.75501,0.000544354,0.000544354,0.000544354
14,659.178,1.11503,1.25444,1.29833,0.74764,0.61973,0.66309,0.32937,1.71401,1.24612,1.69144,0.000530216,0.000530216,0.000530216
15,703.204,1.10553,1.2406,1.28784,0.82825,0.5911,0.67334,0.33565,1.72876,1.23962,1.71202,0.000516079,0.000516079,0.000516079
16,747.277,1.10778,1.21056,1.28197,0.80301,0.59147,0.66145,0.31709,1.85293,1.21051,1.84816,0.000501942,0.000501942,0.000501942
17,790.063,1.10009,1.20964,1.28159,0.78503,0.61299,0.66087,0.32913,1.6953,1.26768,1.70362,0.000487805,0.000487805,0.000487805
18,833.295,1.08682,1.18005,1.2725,0.80776,0.62829,0.69233,0.35457,1.69205,1.18478,1.71039,0.000473668,0.000473668,0.000473668
19,875.817,1.08502,1.16605,1.26635,0.78651,0.64088,0.69224,0.34692,1.71501,1.17878,1.70017,0.00045953,0.00045953,0.00045953
20,918.522,1.07195,1.15995,1.26645,0.83099,0.62277,0.69039,0.34641,1.6982,1.19351,1.71566,0.000445393,0.000445393,0.000445393
21,961.28,1.06014,1.13785,1.26054,0.81951,0.62763,0.69337,0.35495,1.63758,1.1614,1.67868,0.000431256,0.000431256,0.000431256
22,1005.52,1.05635,1.11783,1.25361,0.78399,0.63341,0.68845,0.34992,1.68594,1.17309,1.69359,0.000417119,0.000417119,0.000417119
23,1049.57,1.05188,1.1082,1.24266,0.80275,0.64865,0.70276,0.38694,1.62066,1.11593,1.65245,0.000402982,0.000402982,0.000402982
24,1093.71,1.0365,1.08589,1.23702,0.84218,0.63311,0.69949,0.36836,1.63773,1.14246,1.65661,0.000388844,0.000388844,0.000388844
25,1137.79,1.02355,1.07164,1.23553,0.85053,0.63389,0.7088,0.36413,1.72412,1.09788,1.72737,0.000374707,0.000374707,0.000374707
26,1181.65,1.02379,1.04744,1.22863,0.80944,0.64694,0.70169,0.39106,1.5261,1.07339,1.56853,0.00036057,0.00036057,0.00036057
27,1224.76,1.01388,1.0448,1.22433,0.81834,0.66374,0.71113,0.37546,1.63845,1.10711,1.64017,0.000346433,0.000346433,0.000346433
28,1266.95,1.01815,1.03358,1.22662,0.84061,0.65806,0.71214,0.38025,1.60914,1.08992,1.61903,0.000332296,0.000332296,0.000332296
29,1309.67,1.00905,1.01959,1.21897,0.83289,0.64328,0.71124,0.37858,1.62595,1.07045,1.62972,0.000318158,0.000318158,0.000318158
30,1352.37,1.00572,1.0191,1.21458,0.82958,0.62513,0.69912,0.36426,1.66873,1.08964,1.67207,0.000304021,0.000304021,0.000304021
31,1394.5,0.99306,0.99691,1.20542,0.81599,0.65418,0.70356,0.39521,1.53007,1.05687,1.54579,0.000289884,0.000289884,0.000289884
32,1437.29,0.98903,0.99445,1.20446,0.81636,0.6659,0.72796,0.39512,1.57039,1.00964,1.58649,0.000275747,0.000275747,0.000275747
